,產業別,103_1,103_2,103_3,103_4,103_5,103_6,103_7,103_8,103_9,103_10,103_11,103_12,104_1,104_2,104_3,104_4,104_5,104_6,104_7,104_8,104_9,104_10,104_11,104_12,105_1,105_2,105_3,105_4,105_5,105_6,105_7,105_8,105_9,105_10,105_11,105_12,106_1,106_2,106_3,106_4,106_5,106_6,106_7,106_8,106_9,106_10,106_11,106_12,107_1,107_2,107_3,107_4,107_5,107_6,107_7,107_8,107_9,107_10,107_11,107_12,108_1,108_2,108_3,108_4,108_5,108_6,108_7,108_8,108_9,108_10,108_11,108_12,109_1,109_2,109_3,109_4,109_5,109_6,109_7,109_8,109_9,109_10,109_11,109_12,110_1,110_2,110_3,110_4,110_5,110_6,110_7,110_8,110_9,110_10,110_11,110_12,111_1,111_2,111_3,111_4,111_5
0,水泥工業,17930828.0,10339592.0,20025052.0,20312201.0,20096893.0,18306415.0,18646873.0,18144334.0,18068218.0,19269990.0,17778146.0,19105313.0,17748399.0,9272095.0,14543073.0,15930996.0,15326305.0,15552390.0,15532948.0,14299008.0,14107860.0,15737799.0,15251190.0,16100562.0,13039654.0,7155371.0,14433039.0,14383103.0,14893160.0,14476318.0,13987557.0,14002975.0,13501045.0,15328704.0,15881114.0,17291802.0,11644158.0,10016844.0,15953849.0,14968856.0,15682473.0,14423068.0,14599291.0,13864495.0,15479426.0,15538838.0,18304045.0,19734864.0,17969058.0,9091598.0,17636323.0,19711257.0,20912858.0,19791166.0,19579855.0,19369227.0,19796880.0,21254538.0,20970915.0,19845281.0,19164929.0,9031099.0,20802415.0,20806183.0,21145402.0,18932272.0,19885768.0,19121906.0,19214389.0,20038762.0,21727505.0,22300871.0,14136827.0,9122019.0,16262956.0,18931118.0,19213429.0,18436089.0,18792530.0,18178900.0,18815672.0,19703782.0,20781676.0,21411429.0,18033987.0,9058675.0,18943976.0,19467245.0,19377987.0,17032017.0,16446563.0,17705599.0,18945697.0,20860429.0,20738870.0,22248155.0,16747415.0,10528814.0,19959347.0,18805611.0,17510737.0
1,食品工業,66303579.0,48920151.0,56785298.0,56500771.0,57371556.0,57783831.0,61554613.0,61749963.0,59766812.0,57296372.0,52841190.0,54285636.0,62993384.0,49019197.0,54256598.0,52600704.0,53824105.0,56707867.0,57748074.0,59631182.0,58372216.0,54384846.0,50385122.0,51156360.0,62974333.0,47000258.0,54436095.0,52061898.0,54716656.0,56290283.0,55052862.0,59590019.0,56685575.0,54077913.0,51882125.0,53002858.0,56969934.0,45222032.0,52780524.0,50880048.0,53318416.0,53597678.0,55349206.0,60176783.0,58721038.0,53574181.0,51886831.0,52476469.0,61684499.0,48035679.0,54535800.0,53970356.0,58616986.0,57291156.0,59162287.0,62506767.0,59752801.0,55988678.0,55078111.0,54880824.0,66835571.0,45746293.0,56469244.0,57275865.0,60146325.0,59894640.0,62678365.0,66080907.0,62109820.0,59439039.0,57320577.0,58329310.0,63477154.0,48333272.0,56846969.0,56106072.0,57561343.0,60611199.0,62746132.0,65286867.0,65845002.0,59786466.0,59811614.0,60968632.0,72995806.0,51040615.0,62736839.0,63678255.0,64671236.0,65515143.0,68176457.0,67703366.0,68724535.0,64788047.0,67465050.0,66723397.0,78119692.0,55064385.0,69128233.0,69165830.0,69269538.0
2,塑膠工業,102958314.0,91550423.0,103472527.0,108894445.0,108940412.0,107647488.0,109940468.0,104675842.0,97873277.0,94318220.0,93954004.0,94135866.0,90900000.0,76317678.0,98891170.0,98738195.0,97304217.0,91808210.0,88024328.0,82176982.0,84158026.0,83889929.0,80903832.0,80898364.0,78131266.0,66756910.0,93110979.0,85076366.0,83553777.0,82621867.0,85137617.0,84213040.0,80883141.0,84439602.0,90623756.0,94699134.0,88454481.0,87074133.0,96352592.0,89202366.0,89641117.0,92694954.0,92304126.0,96950091.0,97002352.0,95800436.0,101274091.0,106967840.0,107600750.0,86219515.0,110434287.0,104692333.0,110458272.0,106797131.0,106565841.0,110577708.0,107285309.0,107866096.0,101103438.0,98497258.0,99905376.0,80279326.0,98929968.0,96379852.0,93969465.0,87771278.0,92131121.0,88774591.0,84976794.0,86114801.0,84469822.0,84940514.0,75165152.0,67662840.0,76851127.0,69071412.0,66658241.0,72543550.0,75485721.0,73883722.0,79807401.0,83977249.0,90461996.0,98450589.0,98816374.0,86627611.0,118703178.0,119473527.0,116745886.0,115541247.0,116626538.0,118890219.0,114887674.0,121712690.0,120541242.0,117161182.0,114504785.0,100244824.0,127628191.0,116934876.0,119555369.0
3,紡織纖維,44896366.0,42325884.0,45405806.0,44994932.0,45406818.0,45527245.0,46031050.0,46618904.0,46835431.0,46708794.0,43525193.0,48845683.0,42138844.0,36963645.0,44760781.0,44360913.0,42927509.0,43778383.0,42934541.0,41916074.0,43433004.0,45248176.0,40662028.0,43927459.0,40987745.0,34643002.0,43435503.0,40930691.0,40605351.0,41356668.0,41386435.0,42776695.0,41651134.0,41357185.0,40911410.0,45917893.0,37606380.0,37747532.0,43775719.0,38919508.0,39717681.0,42184090.0,41574175.0,47398096.0,46469995.0,44985344.0,44981667.0,46161827.0,44718119.0,36756522.0,44968435.0,42578229.0,46647105.0,47138371.0,48596802.0,50676772.0,51914393.0,49152253.0,46552378.0,46696323.0,48859743.0,39964542.0,50420138.0,47493555.0,51254871.0,47684035.0,49033898.0,48603452.0,48294762.0,46049261.0,43589832.0,45358516.0,38696759.0,37104121.0,40889220.0,30638102.0,32363561.0,37196225.0,37389392.0,40156736.0,42051208.0,40613965.0,40714884.0,46340618.0,43092351.0,38407123.0,47855392.0,44428431.0,45631547.0,46180346.0,48016015.0,46150313.0,45617996.0,47540360.0,50464017.0,52867443.0,49089066.0,45140549.0,55349516.0,51185707.0,53245342.0
4,電機機械,26701012.0,24520194.0,30600741.0,27261511.0,28082317.0,31537874.0,28407800.0,27232904.0,29369831.0,28889515.0,28423231.0,32753380.0,27556105.0,22535432.0,28443428.0,25634858.0,26059106.0,27735056.0,25364246.0,26339964.0,27908947.0,26037726.0,24659684.0,28708654.0,25465204.0,20414312.0,26557410.0,25756462.0,25999489.0,26523773.0,24732397.0,25044435.0,25412324.0,25339963.0,27485209.0,31030580.0,23995078.0,22879316.0,27492275.0,25722710.0,26145954.0,28521436.0,27606236.0,28615471.0,29116632.0,28494682.0,30850572.0,32011432.0,28920416.0,22416143.0,29319301.0,29128796.0,29144796.0,30203962.0,29272375.0,29656580.0,30194249.0,27617037.0,28595593.0,29323317.0,25627753.0,19533854.0,25888936.0,24271756.0,25100507.0,25339263.0,23792110.0,22954548.0,23569661.0,22446855.0,24245860.0,27637210.0,20904258.0,18384188.0,23626044.0,21751020.0,21716445.0,24627712.0,24240202.0,23817652.0,25031773.0,24712432.0,25818592.0,32620997.0,26829679.0,21295135.0,29657094.0,28037882.0,27923730.0,29639875.0,28505819.0,28575072.0,28253143.0,27613310.0,29465418.0,32536837.0,28777972.0,23100039.0,30698764.0,25850010.0,26966823.0
5,電器電纜,18914208.0,16946890.0,20318980.0,20864498.0,21874784.0,21323307.0,21791719.0,18908355.0,23836166.0,18489946.0,19069038.0,19880801.0,19359238.0,14895574.0,20048562.0,20113654.0,19987000.0,19538748.0,19636521.0,17620924.0,18316296.0,18312507.0,18069032.0,19329317.0,17216259.0,13951598.0,17932651.0,17632013.0,18367191.0,18835764.0,18487737.0,18328488.0,18168377.0,17412788.0,17672241.0,21448492.0,17095880.0,16266593.0,21108498.0,19346795.0,19313044.0,19458855.0,21078612.0,20399588.0,26883835.0,19936229.0,20864658.0,22148390.0,31164113.0,15801477.0,22223987.0,25829592.0,22067209.0,23658512.0,22909994.0,23180074.0,19476049.0,20383860.0,20211917.0,20517192.0,20025412.0,14138246.0,20121302.0,20501323.0,19733546.0,16504528.0,17134013.0,16087596.0,16746536.0,16252881.0,15079110.0,18346394.0,13363718.0,11621278.0,15239979.0,18661619.0,13602726.0,15257599.0,16398042.0,15579240.0,17572371.0,15811511.0,16061946.0,18732140.0,17759834.0,13028068.0,19573903.0,20317608.0,21425558.0,22699405.0,22593081.0,21250503.0,22559536.0,22026887.0,22820818.0,25525949.0,21654550.0,19243412.0,25076592.0,25213742.0,25773498.0
6,化學工業,22840857.0,18401507.0,22892239.0,23828606.0,22424452.0,21479985.0,21859149.0,22169345.0,22871597.0,22799457.0,21794020.0,27367273.0,21261366.0,16536203.0,23014975.0,21506481.0,19958758.0,20276565.0,21467489.0,19216279.0,18488236.0,19890732.0,18444413.0,20679529.0,18805151.0,13915300.0,20482644.0,19202327.0,19199911.0,18934286.0,18997128.0,19502298.0,19101184.0,20048060.0,21803907.0,23652388.0,20666568.0,19146096.0,23138916.0,20016740.0,22083037.0,22960777.0,22485877.0,24769735.0,25192601.0,23079803.0,23682905.0,24041914.0,24882055.0,18622040.0,26230392.0,26065024.0,26131877.0,25265757.0,24735883.0,25670459.0,25873945.0,25670825.0,23941257.0,23327416.0,24770230.0,18428954.0,24672178.0,24037461.0,23216726.0,21404713.0,23344815.0,22158685.0,22786635.0,22510975.0,21112799.0,20740969.0,18964089.0,17530380.0,21442629.0,19577071.0,18742929.0,22265217.0,20278187.0,19574549.0,24116163.0,21147157.0,22398059.0,22500507.0,23883079.0,18301888.0,26273582.0,25201179.0,24026554.0,24227476.0,24434750.0,24484785.0,24820126.0,25819662.0,26707991.0,27146707.0,27274895.0,22267129.0,29856859.0,27794511.0,27022621.0
7,生技醫療業,6237078.0,4977501.0,5903654.0,5972248.0,6513055.0,5821060.0,5800254.0,5881677.0,6542139.0,6849103.0,6799549.0,7893800.0,6543483.0,5451526.0,6880606.0,6406460.0,6435866.0,6686958.0,6603950.0,6468558.0,7457200.0,7628090.0,7615754.0,8822463.0,7302790.0,6188305.0,7635760.0,7456320.0,7511580.0,7328687.0,6980688.0,7670691.0,7658152.0,7686989.0,8407820.0,9380426.0,7289286.0,6157281.0,7764066.0,6679891.0,7162476.0,7271066.0,6874491.0,7809715.0,7989797.0,8096708.0,8468149.0,9457745.0,8000811.0,6585991.0,7865880.0,7225742.0,8129261.0,8166729.0,7585491.0,8553285.0,8639893.0,8752410.0,9182084.0,10282942.0,9157767.0,7248687.0,8675137.0,8249453.0,8697143.0,8518062.0,8566232.0,9020245.0,9094591.0,9365037.0,9971436.0,12711772.0,8297766.0,7905305.0,9431136.0,8943505.0,9148234.0,9634806.0,10106363.0,9725189.0,12093272.0,11976997.0,11916174.0,13855310.0,10960936.0,9326521.0,10714184.0,9936316.0,10399968.0,10147912.0,9674112.0,9959138.0,11383896.0,10969731.0,11297157.0,13020150.0,10449697.0,8929850.0,11331252.0,9696774.0,10405732.0
8,玻璃陶瓷,4164858.0,3671050.0,5090297.0,5272911.0,5429080.0,5224195.0,5266222.0,5159852.0,5236364.0,5218641.0,5106666.0,5374464.0,5052389.0,2833740.0,4871735.0,4871851.0,4823649.0,4926430.0,4990966.0,4833201.0,4985349.0,5320252.0,5202463.0,5800975.0,4675441.0,3126024.0,5190577.0,4879810.0,5065382.0,4887944.0,4925968.0,5436411.0,4990854.0,4991425.0,5302154.0,5422268.0,3903674.0,3969571.0,4997033.0,4868997.0,4765912.0,4987378.0,5074795.0,5478911.0,5478038.0,5397028.0,5522392.0,5778368.0,5365207.0,3124899.0,5770002.0,5293800.0,5466339.0,5314919.0,5257778.0,5594450.0,5009672.0,5013553.0,5217916.0,4947617.0,4537631.0,2627710.0,4746081.0,4688025.0,4972590.0,4662321.0,4965397.0,4845158.0,5209978.0,5022259.0,5050745.0,5332121.0,3191262.0,2461238.0,4242411.0,4066141.0,4142682.0,4508796.0,4793836.0,5210956.0,5437843.0,5223468.0,5610743.0,5899061.0,5102741.0,3427336.0,5995384.0,6066554.0,6313680.0,6034777.0,6420906.0,6375185.0,5818728.0,5691328.0,5794035.0,6123732.0,4785496.0,4741467.0,5084081.0,5085585.0,5351753.0
9,造紙工業,12469073.0,11236139.0,12367516.0,12976378.0,12954312.0,12650997.0,13118893.0,12912276.0,13214537.0,13684927.0,13307483.0,14739974.0,13772095.0,10078420.0,13593433.0,13181077.0,12978621.0,12655324.0,13459466.0,12974049.0,13267189.0,13149002.0,12892170.0,13322083.0,13284362.0,10000507.0,14014690.0,12988864.0,13347434.0,13177766.0,13335388.0,13461757.0,12747239.0,13138381.0,14237277.0,15671537.0,13504740.0,13084625.0,14809336.0,12860877.0,14152242.0,14545117.0,13968474.0,16378678.0,17301794.0,17271241.0,15772301.0,16608917.0,16255675.0,11631733.0,17696326.0,16463853.0,17455820.0,17457880.0,17078085.0,17563644.0,15560436.0,16656852.0,16299533.0,15886860.0,16402654.0,11694042.0,15622393.0,15660867.0,15465416.0,15045466.0,15567136.0,15428561.0,15158841.0,15512237.0,15888383.0,17493386.0,12261161.0,11007584.0,13989915.0,14132757.0,13151313.0,14178204.0,14895136.0,15477025.0,17125795.0,16846729.0,17313933.0,19020410.0,18636588.0,14537335.0,17872468.0,17630701.0,19787360.0,18973922.0,18349799.0,17191855.0,19109280.0,18940183.0,19686383.0,20209581.0,18697761.0,14689839.0,20392480.0,17603163.0,18617189.0
