,產業別,當月營收
0,水泥工業,16747415
1,食品工業,78119692
2,塑膠工業,114504785
3,紡織纖維,49089066
4,電機機械,28777972
5,電器電纜,21654550
6,化學工業,27274895
7,生技醫療業,10449697
8,玻璃陶瓷,4785496
9,造紙工業,18697761
10,鋼鐵工業,88505269
11,橡膠工業,18605903
12,汽車工業,55313344
13,半導體業,393827826
14,電腦及週邊設備業,613899693
15,光電業,96003794
16,通信網路業,79390314
17,電子零組件業,160595102
18,電子通路業,226079346
19,資訊服務業,6602087
20,其他電子業,493112935
21,油電燃氣業,69319832
22,建材營造,31798709
23,航運業,167755764
24,觀光事業,4676104
25,金融保險業（其中金控公司係控股公司，其申報之「營業收入」係認列所有子公司損益之合計數）,241474502
26,貿易百貨,63148521
27,其他,90687222
28,存託憑證,0
